img,class,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,7,480,532,127,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,5,158,366,14,181
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,7,480,532,127,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,3,10,90,195,284
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,5,158,366,14,181
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,5,45,307,67,238
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,5,485,533,139,178
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,6,82,186,275
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,5,45,307,67,238
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,6,82,186,275
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,5,485,533,139,178
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,5,485,533,139,178
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,5,45,307,67,238
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,3,6,82,186,275
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame123.txt,3,178,234,136,196
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame123.txt,5,493,535,143,182
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,5,493,535,143,182
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,3,178,234,136,196
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,3,178,234,136,196
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,5,493,535,143,182
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,3,2,78,156,228
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,5,495,537,148,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,7,425,480,91,134
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,3,2,78,156,228
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,5,495,537,148,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,7,425,480,91,134
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,5,495,537,148,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,7,425,480,91,134
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,3,2,78,156,228
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,3,1,76,148,220
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,7,438,494,100,143
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,5,498,540,149,189
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,5,336,388,21,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame130.txt,5,336,388,21,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame130.txt,7,438,494,100,143
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame130.txt,5,498,540,149,189
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame130.txt,3,1,76,148,220
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame131.txt,5,336,388,21,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame131.txt,7,438,494,100,143
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame131.txt,5,498,540,149,189
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame131.txt,3,1,76,148,220
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame132.txt,5,341,393,20,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame132.txt,7,451,509,107,154
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame132.txt,3,2,78,144,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame132.txt,3,170,238,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame133.txt,3,170,238,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame133.txt,3,2,78,144,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame133.txt,5,341,393,20,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame133.txt,7,451,509,107,154
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame134.txt,7,451,509,107,154
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame134.txt,5,341,393,20,65
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame134.txt,3,170,238,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame134.txt,3,2,78,144,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame135.txt,5,350,402,27,71
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame135.txt,7,472,520,120,171
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame135.txt,3,167,230,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame135.txt,3,2,70,143,211
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame136.txt,5,350,402,27,71
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame136.txt,7,472,520,120,171
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame136.txt,3,167,230,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame136.txt,3,2,70,143,211
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame137.txt,5,350,402,27,71
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame137.txt,7,472,520,120,171
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame137.txt,3,167,230,138,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame137.txt,3,2,70,143,211
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame138.txt,5,352,409,28,82
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame138.txt,3,173,235,147,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame138.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame139.txt,5,352,409,28,82
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame139.txt,3,173,235,147,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame139.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame140.txt,5,352,409,28,82
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame140.txt,3,173,235,147,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame140.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame141.txt,5,363,409,36,84
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame141.txt,5,495,553,142,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame141.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame142.txt,5,363,409,36,84
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame142.txt,5,495,553,142,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame142.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame143.txt,5,363,409,36,84
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame143.txt,5,495,553,142,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame143.txt,3,2,70,138,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame144.txt,5,362,418,35,96
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame144.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame144.txt,3,-1,67,136,208
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame145.txt,5,362,418,35,96
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame145.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame145.txt,3,2,70,138,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame146.txt,5,362,418,35,96
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame146.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame146.txt,3,2,70,138,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame147.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame147.txt,5,364,420,43,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame147.txt,3,2,70,138,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame148.txt,5,364,420,43,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame148.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame148.txt,3,2,70,138,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame149.txt,5,364,420,43,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame149.txt,5,502,560,146,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame149.txt,3,2,70,138,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame150.txt,5,371,426,47,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame150.txt,3,2,70,135,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame151.txt,5,371,426,47,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame151.txt,3,2,70,135,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame152.txt,5,371,426,47,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame152.txt,3,2,70,135,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame168.txt,5,390,447,102,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame168.txt,3,36,106,134,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame169.txt,5,390,447,102,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame169.txt,3,36,106,134,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame170.txt,5,390,447,102,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame170.txt,3,36,106,134,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame171.txt,5,394,446,113,170
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame171.txt,3,53,123,143,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame172.txt,5,394,446,113,170
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame172.txt,3,53,123,143,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame173.txt,5,394,446,113,170
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame173.txt,3,53,123,143,234
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame174.txt,5,398,454,125,172
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame174.txt,3,65,127,154,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame175.txt,5,398,454,125,172
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame175.txt,3,65,127,154,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame176.txt,5,398,454,125,172
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame176.txt,3,65,127,154,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame177.txt,3,64,128,161,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame177.txt,5,411,461,136,179
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame178.txt,3,64,128,161,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame178.txt,5,411,461,136,179
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame179.txt,3,64,128,161,245
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame179.txt,5,411,461,136,179
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame180.txt,5,414,464,137,180
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame180.txt,3,70,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame181.txt,5,414,464,137,180
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame181.txt,3,70,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame182.txt,5,414,464,137,180
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame182.txt,3,70,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame183.txt,5,420,469,145,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame183.txt,3,74,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame184.txt,5,420,469,145,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame184.txt,3,74,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame185.txt,5,420,469,145,188
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame185.txt,3,74,134,164,247
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame186.txt,5,433,475,152,190
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame186.txt,3,82,132,179,263
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame187.txt,5,433,475,152,190
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame187.txt,3,82,132,179,263
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame188.txt,5,433,475,152,190
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame188.txt,3,82,132,179,263
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame189.txt,3,83,133,189,264
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame190.txt,3,83,133,189,264
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame191.txt,3,83,133,189,264
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame192.txt,3,88,144,198,266
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame193.txt,3,88,144,198,266
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame194.txt,3,88,144,198,266
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame357.txt,3,191,246,163,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame357.txt,5,447,489,157,193
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame358.txt,3,191,246,163,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame358.txt,5,447,489,157,193
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame359.txt,5,447,489,157,193
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame359.txt,3,191,246,163,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame360.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame361.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame362.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame363.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame363.txt,5,422,474,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame363.txt,5,422,534,280,346
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame364.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame364.txt,5,422,474,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame364.txt,5,422,534,280,346
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame365.txt,5,422,534,280,346
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame365.txt,3,186,242,155,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame365.txt,5,422,474,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame366.txt,5,416,536,279,345
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame366.txt,3,182,242,150,213
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame366.txt,5,427,482,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame367.txt,5,416,536,279,345
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame367.txt,3,182,242,150,213
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame367.txt,5,427,482,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame368.txt,5,416,536,279,345
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame368.txt,3,182,242,150,213
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame368.txt,5,427,482,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame369.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame369.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame369.txt,5,438,490,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame370.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame370.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame370.txt,5,438,490,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame371.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame371.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame371.txt,5,438,490,126,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame372.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame372.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame372.txt,5,452,497,130,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame373.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame373.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame373.txt,5,452,497,130,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame374.txt,5,401,536,273,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame374.txt,3,179,246,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame374.txt,5,452,497,130,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame375.txt,3,183,246,149,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame375.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame376.txt,3,183,246,149,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame376.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame377.txt,3,183,246,149,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame377.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame378.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame378.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame379.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame379.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame380.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame380.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame381.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame381.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame382.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame382.txt,5,402,544,264,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame383.txt,3,190,250,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame383.txt,5,401,543,273,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame384.txt,3,195,253,152,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame384.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame385.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame385.txt,3,195,253,152,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame386.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame386.txt,3,195,253,152,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame387.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame387.txt,3,193,251,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame388.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame388.txt,3,193,251,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame389.txt,5,401,551,269,347
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame389.txt,3,193,251,152,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame390.txt,5,417,560,275,354
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame390.txt,3,192,248,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame391.txt,5,417,560,275,354
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame391.txt,3,192,248,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame392.txt,5,417,560,275,354
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame392.txt,3,192,248,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame393.txt,5,422,559,276,360
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame393.txt,3,190,251,155,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame394.txt,5,422,559,276,360
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame394.txt,3,190,251,155,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame395.txt,5,422,559,276,360
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame395.txt,3,190,251,155,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame396.txt,5,422,559,276,360
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame396.txt,3,190,251,155,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame397.txt,5,437,567,278,367
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame397.txt,3,186,246,153,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame398.txt,5,437,567,278,367
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame398.txt,3,186,246,153,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame399.txt,5,432,568,273,375
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame399.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame400.txt,5,432,568,273,375
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame400.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame401.txt,5,432,568,273,375
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame401.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame402.txt,5,434,564,280,377
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame402.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame403.txt,5,434,564,280,377
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame403.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame404.txt,5,434,564,280,377
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame404.txt,3,180,245,153,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame405.txt,5,440,565,284,378
