,img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax,iou,label
34,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame26.txt,3,0.746013,0.750812,516,580,116,178,1.0170293282876062,3.0
35,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame26.txt,3,0.817565,0.818492,353,429,8,62,7.265560165975093,-3.0
36,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame27.txt,3,0.497869,0.500437,518,586,116,177,1.2034412955465583,3.0
37,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame27.txt,3,0.838709,0.83947,360,436,1,55,9.627712854757913,6.0
38,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame28.txt,3,0.764406,0.765492,380,454,0,38,0.7346938775510202,3.0
39,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame60.txt,3,0.518888,0.520017,529,579,35,104,0.7959299039005086,-3.0
40,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame61.txt,3,0.26612,0.267683,518,570,35,102,0.8946236559139783,-3.0
41,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame62.txt,3,0.395345,0.398051,512,560,33,105,0.8224299065420558,-3.0
42,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame63.txt,3,0.592514,0.596112,504,558,35,104,0.8399798081776878,-3.0
43,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame64.txt,3,0.305583,0.307727,497,543,37,101,0.7828646173969913,-3.0
44,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame66.txt,3,0.308519,0.309712,483,521,50,116,0.7526555386949921,-3.0
45,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame67.txt,3,0.353268,0.362915,465,511,60,126,0.741312741312741,-3.0
46,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame69.txt,8,0.328856,0.344028,432,477,65,134,0.8186046511627905,-3.0
47,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame70.txt,3,0.363088,0.372669,424,476,59,137,0.8801141769743099,-3.0
48,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame71.txt,3,0.756003,0.763752,404,482,51,128,0.8313953488372092,-3.0
49,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame72.txt,3,0.746667,0.752222,396,489,51,126,0.7833557951482478,-3.0
50,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame73.txt,3,0.758717,0.771799,405,499,44,120,0.7242685750368342,-3.0
51,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame74.txt,4,0.365855,0.687101,406,508,41,117,0.8239587805925288,-3.0
52,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame74.txt,3,0.412714,0.688384,406,506,42,117,0.8116883116883116,-3.0
53,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame75.txt,3,0.611581,0.651111,410,510,41,116,0.7827476038338657,-3.0
54,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame76.txt,3,0.737166,0.745517,416,512,39,117,0.8103896103896102,-3.0
55,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame77.txt,4,0.427072,0.675783,418,518,36,116,0.8071278825995806,-3.0
56,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame77.txt,3,0.558413,0.611569,419,517,38,114,0.7871064467766116,-3.0
57,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame78.txt,3,0.730241,0.745617,427,513,40,113,0.7656097560975608,-3.0
58,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame79.txt,3,0.393377,0.580885,441,511,45,117,0.7682926829268292,-3.0
59,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame80.txt,8,0.297882,0.483951,450,516,48,119,0.8416925041035928,-3.0
60,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame80.txt,3,0.541564,0.679476,450,515,49,118,0.8287139689578713,-3.0
61,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame81.txt,3,0.647714,0.654827,451,515,51,119,0.8603839441535774,-3.0
62,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame82.txt,3,0.495209,0.498995,467,518,54,117,0.7693965517241378,-3.0
63,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame83.txt,3,0.390411,0.39328,479,522,59,114,0.7509881422924899,-3.0
64,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame88.txt,3,0.288378,0.289348,499,541,53,100,0.5112970711297069,-3.0
65,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,3,0.286741,0.287266,387,430,20,59,0.9535232383808092,-3.0
66,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,3,0.32351,0.325877,526,578,43,95,0.6109660574412531,-3.0
67,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,3,0.612472,0.618178,150,234,138,240,45.95652173913024,-3.0
68,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame93.txt,3,0.76897,0.769348,157,244,129,228,5.497902935889751,-3.0
69,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame96.txt,3,0.801561,0.801938,172,252,116,198,7.1985815602836825,-3.0
70,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame97.txt,3,0.639108,0.639809,358,403,21,59,1.4474123539232047,-3.0
71,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame97.txt,3,0.810391,0.810766,170,254,114,198,2.903846153846153,-3.0
72,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,3,0.688288,0.689072,352,409,21,60,1.276773296244784,-3.0
73,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,3,0.787507,0.787897,171,253,116,200,5.210116731517506,-3.0
74,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,3,0.73944,0.740134,355,410,19,58,1.639541234298197,-3.0
75,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,3,0.801237,0.801689,170,254,119,196,2.1367521367521363,3.0
76,07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,3,0.676251,0.678504,360,412,17,56,14.197368421052584,-3.0
77,07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,3,0.777861,0.778716,164,248,121,196,4.421052631578945,3.0
78,07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,3,0.251937,0.254174,590,635,23,64,0.8035551504102093,-3.0
79,07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,3,0.631617,0.632396,368,413,15,53,0.7539682539682536,3.0
80,07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,3,0.747835,0.749056,166,244,135,207,0.8376500315855968,3.0
81,07baf895b711927a078c12eb6deb88b0#201011270630_frame12.txt,3,0.267688,0.271118,425,471,126,168,0.8203815728245692,-3.0
82,07baf895b711927a078c12eb6deb88b0#201011270630_frame132.txt,3,0.334409,0.338584,529,580,19,76,0.8563380281690138,-3.0
83,07baf895b711927a078c12eb6deb88b0#201011270630_frame133.txt,3,0.29142,0.291823,327,369,21,57,73.79999999999876,-3.0
84,07baf895b711927a078c12eb6deb88b0#201011270630_frame133.txt,3,0.603674,0.605412,488,541,10,64,25.807692307692143,3.0
85,07baf895b711927a078c12eb6deb88b0#201011270630_frame134.txt,3,0.548792,0.550379,306,350,28,64,12.833333333333288,-3.0
86,07baf895b711927a078c12eb6deb88b0#201011270630_frame136.txt,3,0.323335,0.324818,275,322,42,81,0.8325508607198744,3.0
87,07baf895b711927a078c12eb6deb88b0#201011270630_frame136.txt,3,0.652928,0.654622,429,491,5,65,0.9086395233366433,-3.0
88,07baf895b711927a078c12eb6deb88b0#201011270630_frame152.txt,3,0.765927,0.766584,310,379,1,49,0.9166666666666664,3.0
89,07baf895b711927a078c12eb6deb88b0#201011270630_frame153.txt,3,0.601926,0.603835,319,389,0,42,0.8979591836734692,3.0
91,07baf895b711927a078c12eb6deb88b0#201011270630_frame185.txt,3,0.30922,0.311793,456,514,103,154,0.7972440944881888,-3.0
92,07baf895b711927a078c12eb6deb88b0#201011270630_frame186.txt,3,0.300936,0.305199,456,510,105,153,0.8684210526315786,-3.0
93,07baf895b711927a078c12eb6deb88b0#201011270630_frame186.txt,3,0.661507,0.663917,587,639,23,85,0.341742583508526,-3.0
94,07baf895b711927a078c12eb6deb88b0#201011270630_frame187.txt,3,0.408019,0.412186,455,514,105,158,0.7631661936297696,-3.0
95,07baf895b711927a078c12eb6deb88b0#201011270630_frame188.txt,3,0.577744,0.59253,454,514,108,161,0.7748427672955973,-3.0
96,07baf895b711927a078c12eb6deb88b0#201011270630_frame189.txt,3,0.566056,0.575626,455,514,110,159,0.7586206896551722,-3.0
97,07baf895b711927a078c12eb6deb88b0#201011270630_frame19.txt,3,0.349663,0.351387,497,547,158,197,8.010563380281676,3.0
98,07baf895b711927a078c12eb6deb88b0#201011270630_frame19.txt,3,0.733965,0.735529,385,431,27,89,0.8730553827006843,3.0
99,07baf895b711927a078c12eb6deb88b0#201011270630_frame20.txt,3,0.712784,0.714595,370,422,44,105,0.8581477139507618,3.0
100,07baf895b711927a078c12eb6deb88b0#201011270630_frame21.txt,3,0.719949,0.722026,365,415,48,107,0.8618381010346924,3.0
101,07baf895b711927a078c12eb6deb88b0#201011270630_frame23.txt,3,0.460138,0.463015,356,397,51,108,1.128664495114006,-3.0
102,07baf895b711927a078c12eb6deb88b0#201011270630_frame24.txt,3,0.455959,0.460916,501,555,125,178,0.5670261941448381,3.0
103,07baf895b711927a078c12eb6deb88b0#201011270630_frame24.txt,3,0.71091,0.712958,352,405,43,100,1.2673559822747409,-3.0
104,07baf895b711927a078c12eb6deb88b0#201011270630_frame25.txt,3,0.417055,0.420066,513,563,119,176,0.8730158730158728,3.0
105,07baf895b711927a078c12eb6deb88b0#201011270630_frame25.txt,3,0.797619,0.798647,352,416,29,87,1.6976972072513465,-3.0
106,07baf895b711927a078c12eb6deb88b0#201011270630_frame26.txt,3,0.746013,0.750812,516,580,116,178,1.1208791208791207,3.0
107,07baf895b711927a078c12eb6deb88b0#201011270630_frame26.txt,3,0.817565,0.818492,353,429,8,62,19.914893617021203,-3.0
108,07baf895b711927a078c12eb6deb88b0#201011270630_frame27.txt,3,0.497869,0.500437,518,586,116,177,1.1089494163424123,3.0
109,07baf895b711927a078c12eb6deb88b0#201011270630_frame27.txt,3,0.838709,0.83947,360,436,1,55,0.9071618037135276,3.0
110,07baf895b711927a078c12eb6deb88b0#201011270630_frame28.txt,3,0.764406,0.765492,380,454,0,38,0.805442176870748,3.0
111,07baf895b711927a078c12eb6deb88b0#201011270630_frame51.txt,3,0.324182,0.329225,570,623,53,113,0.8850834984432492,-3.0
112,07baf895b711927a078c12eb6deb88b0#201011270630_frame52.txt,3,0.368249,0.37856,565,615,54,114,0.9215686274509801,-3.0
113,07baf895b711927a078c12eb6deb88b0#201011270630_frame60.txt,3,0.518888,0.520017,529,579,35,104,0.7735849056603772,-3.0
114,07baf895b711927a078c12eb6deb88b0#201011270630_frame61.txt,3,0.26612,0.267683,518,570,35,102,0.7883538633818588,-3.0
115,07baf895b711927a078c12eb6deb88b0#201011270630_frame62.txt,3,0.395345,0.398051,512,560,33,105,0.8516129032258063,-3.0
116,07baf895b711927a078c12eb6deb88b0#201011270630_frame63.txt,3,0.592514,0.596112,504,558,35,104,0.8689295039164489,-3.0
117,07baf895b711927a078c12eb6deb88b0#201011270630_frame64.txt,3,0.305583,0.307727,497,543,37,101,0.7281167108753314,-3.0
118,07baf895b711927a078c12eb6deb88b0#201011270630_frame66.txt,3,0.308519,0.309712,483,521,50,116,0.8256880733944951,-3.0
119,07baf895b711927a078c12eb6deb88b0#201011270630_frame67.txt,3,0.353268,0.362915,465,511,60,126,0.34142640364188154,-3.0
120,07baf895b711927a078c12eb6deb88b0#201011270630_frame69.txt,8,0.328856,0.344028,432,477,65,134,0.720099409754582,-3.0
121,07baf895b711927a078c12eb6deb88b0#201011270630_frame70.txt,3,0.363088,0.372669,424,476,59,137,0.8313136209403779,-3.0
122,07baf895b711927a078c12eb6deb88b0#201011270630_frame71.txt,3,0.756003,0.763752,404,482,51,128,0.8285797438882421,-3.0
123,07baf895b711927a078c12eb6deb88b0#201011270630_frame72.txt,3,0.746667,0.752222,396,489,51,126,0.9134683472595948,-3.0
124,07baf895b711927a078c12eb6deb88b0#201011270630_frame73.txt,3,0.758717,0.771799,405,499,44,120,0.8480243161094223,-3.0
125,07baf895b711927a078c12eb6deb88b0#201011270630_frame74.txt,4,0.365855,0.687101,406,508,41,117,0.7968164794007488,-3.0
126,07baf895b711927a078c12eb6deb88b0#201011270630_frame74.txt,3,0.412714,0.688384,406,506,42,117,0.8210323203087311,-3.0
127,07baf895b711927a078c12eb6deb88b0#201011270630_frame75.txt,3,0.611581,0.651111,410,510,41,116,0.806583893381934,-3.0
128,07baf895b711927a078c12eb6deb88b0#201011270630_frame76.txt,3,0.737166,0.745517,416,512,39,117,0.8676056338028167,-3.0
129,07baf895b711927a078c12eb6deb88b0#201011270630_frame77.txt,4,0.427072,0.675783,418,518,36,116,0.7966101694915253,-3.0
130,07baf895b711927a078c12eb6deb88b0#201011270630_frame77.txt,3,0.558413,0.611569,419,517,38,114,0.793039870938004,-3.0
131,07baf895b711927a078c12eb6deb88b0#201011270630_frame78.txt,3,0.730241,0.745617,427,513,40,113,0.8379473328831869,-3.0
132,07baf895b711927a078c12eb6deb88b0#201011270630_frame79.txt,3,0.393377,0.580885,441,511,45,117,0.8974358974358972,-3.0
133,07baf895b711927a078c12eb6deb88b0#201011270630_frame80.txt,8,0.297882,0.483951,450,516,48,119,0.8130081300813007,-3.0
134,07baf895b711927a078c12eb6deb88b0#201011270630_frame80.txt,3,0.541564,0.679476,450,515,49,118,0.8238805970149252,-3.0
135,07baf895b711927a078c12eb6deb88b0#201011270630_frame81.txt,3,0.647714,0.654827,451,515,51,119,0.8334089877439853,-3.0
136,07baf895b711927a078c12eb6deb88b0#201011270630_frame82.txt,3,0.495209,0.498995,467,518,54,117,0.7981418918918917,-3.0
137,07baf895b711927a078c12eb6deb88b0#201011270630_frame83.txt,3,0.390411,0.39328,479,522,59,114,0.6435436690346843,-3.0
138,07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,3,0.73944,0.740134,355,410,19,58,8.415300546448071,-3.0
139,07baf895b711927a078c12eb6deb88b0#201011270630_frame99.txt,3,0.801237,0.801689,170,254,119,196,1.8810572687224665,3.0
140,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame200.txt,3,0.270172,0.271421,293,325,186,219,0.8632911392405057,3.0
141,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame206.txt,3,0.701332,0.702833,303,359,178,224,0.7540106951871655,3.0
142,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame207.txt,3,0.757109,0.757818,305,359,174,221,4.855585831062664,3.0
143,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame208.txt,3,0.274009,0.28428,116,161,92,167,0.41220115416323155,3.0
144,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame208.txt,3,0.644821,0.645904,307,353,174,219,2.0434782608695636,-3.0
146,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,3,0.260454,0.358461,18,81,100,155,15.988919667589983,3.0
147,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,3,0.285166,0.288042,576,634,115,205,1.89149560117302,3.0
148,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,3,0.69689,0.697871,403,449,55,100,2.5464071856287407,3.0
149,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame228.txt,3,0.770869,0.772232,307,362,178,223,21.61904761904754,3.0
150,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,3,0.64121,0.642274,410,455,62,107,4.860186418109181,3.0
151,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame229.txt,3,0.770262,0.771608,307,361,178,223,4.8866396761133535,3.0
152,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,3,0.625603,0.628669,143,229,125,185,0.7873303167420813,0.0
153,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame23.txt,3,0.804959,0.805902,322,375,173,223,0.780622837370242,3.0
154,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,1,0.313275,0.426266,18,82,98,151,0.8364941055868783,3.0
155,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,3,0.642018,0.644392,422,468,77,118,9.196172248803805,3.0
156,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame230.txt,3,0.74899,0.75043,309,363,178,223,4.657223796033987,-3.0
157,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,3,0.553108,0.554638,347,397,11,62,0.8752735229759296,-3.0
158,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,3,0.709035,0.71035,436,484,83,128,6.767123287671221,3.0
159,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame231.txt,3,0.76932,0.770627,308,361,178,223,4.269966254218218,3.0
160,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,3,0.552372,0.554496,359,406,26,73,0.7058439438459025,-3.0
161,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,3,0.706706,0.707353,444,497,81,126,20.15999999999991,3.0
162,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame232.txt,3,0.747398,0.748756,308,361,178,223,9.202558635394436,3.0
163,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame233.txt,3,0.635388,0.636964,311,361,178,223,0.8364430329495829,3.0
164,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame234.txt,3,0.392939,0.39555,381,432,80,130,0.7850985221674874,-3.0
165,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame234.txt,3,0.528464,0.530028,306,359,178,223,0.9182111200644638,3.0
166,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame235.txt,3,0.326748,0.343124,386,443,91,134,0.9194348988163418,-3.0
167,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame235.txt,3,0.643932,0.64473,306,367,178,226,0.8114754098360654,3.0
168,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame24.txt,3,0.420205,0.421039,316,376,173,224,0.7853470437017993,3.0
169,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,3,0.359172,0.372385,429,493,94,133,0.8672985781990519,6.0
170,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame25.txt,3,0.368441,0.369734,323,377,170,221,0.8736616702355458,3.0
171,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame252.txt,3,0.439399,0.441517,377,428,29,75,0.7406639004149376,-3.0
172,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame252.txt,3,0.775717,0.77658,318,383,103,160,0.8764940239043822,3.0
173,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame253.txt,3,0.510612,0.512304,358,414,36,83,0.792452830188679,-3.0
174,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame253.txt,3,0.754682,0.756325,316,373,112,163,0.8499999999999998,3.0
175,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,3,0.341738,0.367939,159,234,132,192,0.7191011235955055,0.0
177,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,3,0.774594,0.775719,321,381,158,213,0.7854545454545452,3.0
178,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,3,0.437762,0.443655,432,493,90,129,0.9590401323955313,6.0
179,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,3,0.480093,0.48231,343,390,135,194,25.506382978723295,0.0
181,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame271.txt,3,0.357168,0.358823,321,372,21,65,0.832911392405063,-3.0
182,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame276.txt,3,0.493337,0.498568,389,456,59,100,0.6912910877668584,-3.0
183,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame277.txt,3,0.305396,0.335278,398,458,56,99,0.6945736434108525,-3.0
184,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,3,0.518314,0.521232,432,489,90,128,0.919354838709677,6.0
186,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,3,0.67611,0.677371,322,390,139,214,0.8437499999999999,0.0
187,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,3,0.599798,0.607646,182,262,136,190,2.0264317180616733,3.0
188,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,3,0.797783,0.798579,309,355,176,222,15.029268292682854,6.0
189,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame34.txt,3,0.801605,0.802621,354,407,139,196,2.113507377979568,0.0
190,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,3,0.537738,0.540086,182,267,131,192,1.3453608247422677,3.0
191,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,3,0.821351,0.822078,307,357,175,221,0.8414023372287142,3.0
192,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame35.txt,3,0.823291,0.82405,353,404,138,198,1.701960784313725,0.0
193,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,3,0.285058,0.285586,262,294,182,217,0.6828885400313967,3.0
194,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,3,0.753998,0.755192,184,260,130,191,1.9293924466338253,3.0
195,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,3,0.789733,0.790585,354,403,133,184,2.8236301369862997,0.0
196,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame36.txt,3,0.823605,0.824141,308,360,173,222,0.9070646014355871,3.0
197,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,3,0.36539,0.366019,262,295,177,216,0.7105847520355287,3.0
198,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,3,0.439688,0.441533,295,341,173,218,0.41925465838509307,3.0
199,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,3,0.759668,0.760797,354,403,131,185,3.2574626865671625,0.0
200,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,3,0.763873,0.764734,312,360,172,220,0.8854003139717422,3.0
201,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame37.txt,3,0.781818,0.783029,185,259,128,192,1.9106999195494763,3.0
202,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,3,0.721775,0.727271,177,243,125,182,5.595611285266452,3.0
203,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,3,0.758746,0.759524,312,364,167,222,0.8419243986254293,3.0
204,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame38.txt,3,0.805323,0.806244,349,399,126,180,14.21739130434779,0.0
205,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,3,0.564374,0.617941,172,229,120,180,59.09302325581327,3.0
206,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame39.txt,3,0.799078,0.800364,309,368,163,218,0.7858243451463788,3.0
207,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame40.txt,3,0.73645,0.74055,164,225,114,180,0.8309927360774817,0.0
208,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame40.txt,3,0.737614,0.738627,317,363,165,212,0.7570028011204479,3.0
