img,cls,xmin,xmax,ymin,ymax,class
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame151.txt,,458,512,161,200,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame152.txt,,308,378,1,53,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame152.txt,,469,523,155,194,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame153.txt,,318,388,0,42,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame153.txt,,481,535,155,194,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame154.txt,,340,396,0,26,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame154.txt,,496,550,152,192,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame155.txt,,501,555,151,191,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame156.txt,,511,565,149,188,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame157.txt,,518,572,149,188,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame158.txt,,540,584,140,180,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame159.txt,,544,588,139,179,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame16.txt,,431,481,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame16.txt,,484,544,161,199,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame160.txt,,560,604,133,173,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame161.txt,,580,620,127,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame162.txt,,584,624,125,164,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame163.txt,,588,628,122,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame163.txt,,606,640,60,96,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame164.txt,,596,636,122,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame165.txt,,590,636,122,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame166.txt,,596,636,121,161,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame17.txt,,440,490,112,160,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame17.txt,,486,546,158,197,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame176.txt,,531,573,93,141,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame177.txt,,521,563,94,142,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame178.txt,,505,539,100,142,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame179.txt,,491,525,100,142,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame18.txt,,444,494,112,160,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame18.txt,,486,546,158,197,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame180.txt,,485,519,101,145,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame181.txt,,474,518,102,146,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame182.txt,,472,516,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame183.txt,,466,510,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame184.txt,,466,510,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame184.txt,,585,639,9,93,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame185.txt,,456,510,105,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame185.txt,,585,639,17,92,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,,452,512,105,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,,585,639,17,86,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame187.txt,,452,512,105,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame187.txt,,585,639,1,71,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame188.txt,,450,510,108,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame188.txt,,585,639,1,41,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame189.txt,,450,510,108,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame189.txt,,574,638,0,30,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,,454,504,112,160,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,,488,548,158,197,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,,380,430,26,95,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame190.txt,,450,510,108,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame191.txt,,450,510,108,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame192.txt,,460,510,108,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame193.txt,,470,508,108,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame194.txt,,474,512,107,151,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame195.txt,,474,512,107,151,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame196.txt,,480,518,107,151,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame2.txt,,404,462,152,204,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame2.txt,,515,549,153,189,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame20.txt,,373,423,38,107,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame20.txt,,467,517,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame20.txt,,490,550,156,194,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame21.txt,,367,417,44,113,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame21.txt,,467,517,114,162,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame21.txt,,490,550,156,194,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame22.txt,,364,404,56,113,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame22.txt,,484,532,127,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame22.txt,,490,550,150,188,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame23.txt,,354,394,52,112,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame23.txt,,494,542,127,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame23.txt,,492,552,149,187,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame24.txt,,353,403,40,100,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame24.txt,,500,548,127,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame25.txt,,350,416,28,88,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame25.txt,,514,562,119,158,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame26.txt,,354,430,6,66,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame26.txt,,532,580,113,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame27.txt,,360,436,-2,58,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame27.txt,,540,588,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame27.txt,,509,567,134,173,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame28.txt,,376,452,-6,42,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame28.txt,,552,608,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame28.txt,,516,574,134,173,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame29.txt,,392,468,-6,30,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame29.txt,,526,570,134,173,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame29.txt,,564,620,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame3.txt,,404,462,152,204,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame3.txt,,508,542,154,190,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame30.txt,,526,570,134,173,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame30.txt,,564,620,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame31.txt,,570,626,113,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame31.txt,,526,570,131,169,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame32.txt,,578,634,111,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame32.txt,,530,574,131,169,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame33.txt,,530,574,131,169,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame33.txt,,578,634,111,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame34.txt,,586,634,111,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame34.txt,,537,575,131,169,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame35.txt,,597,635,111,153,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame35.txt,,537,575,131,169,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame36.txt,,599,637,105,147,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame36.txt,,537,575,128,167,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame37.txt,,604,642,100,142,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame38.txt,,604,642,93,135,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame39.txt,,604,642,93,135,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame39.txt,,539,585,126,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame4.txt,,404,462,152,204,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame40.txt,,604,642,93,135,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame40.txt,,540,586,126,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame41.txt,,606,644,84,126,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame41.txt,,542,588,124,160,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame5.txt,,404,462,145,197,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame55.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame55.txt,,550,610,62,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame56.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame56.txt,,546,606,62,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame57.txt,,544,604,59,115,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame57.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame58.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame58.txt,,544,588,48,104,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame59.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame59.txt,,540,584,41,97,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame59.txt,,508,540,99,123,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame6.txt,,414,464,141,189,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame60.txt,,530,574,40,106,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame60.txt,,548,588,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame61.txt,,518,572,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame61.txt,,549,595,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame62.txt,,511,565,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame62.txt,,549,595,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame63.txt,,502,556,33,99,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame63.txt,,549,595,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame64.txt,,503,541,34,100,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame64.txt,,549,595,128,162,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame65.txt,,494,532,45,111,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame65.txt,,549,595,127,161,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame66.txt,,486,518,46,112,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame67.txt,,466,502,58,124,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame68.txt,,446,482,63,129,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame69.txt,,434,474,62,131,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame7.txt,,414,464,136,184,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame70.txt,,422,474,60,134,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame71.txt,,400,486,51,135,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame72.txt,,389,495,48,132,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame73.txt,,388,498,46,130,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame74.txt,,397,507,40,124,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame75.txt,,398,508,39,123,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame76.txt,,403,513,39,123,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame77.txt,,408,518,39,123,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame78.txt,,414,514,38,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame79.txt,,434,514,38,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame8.txt,,417,467,132,180,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame80.txt,,449,515,38,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame81.txt,,456,514,48,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame82.txt,,460,518,48,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame83.txt,,480,518,54,120,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame84.txt,,486,518,59,121,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame85.txt,,497,519,56,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame86.txt,,497,519,56,119,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame87.txt,,497,519,50,113,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame88.txt,,506,532,44,107,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame88.txt,,554,614,120,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame89.txt,,510,546,42,104,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame89.txt,,554,614,120,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame89.txt,,435,469,24,56,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame9.txt,,418,468,129,177,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame90.txt,,516,552,41,103,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame90.txt,,554,614,120,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame90.txt,,425,459,23,55,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame91.txt,,406,440,23,55,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame91.txt,,524,560,41,103,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame91.txt,,554,614,120,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,,154,230,143,217,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,,391,425,23,55,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,,536,572,41,103,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame92.txt,,566,604,120,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame93.txt,,540,576,36,98,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame93.txt,,385,419,23,55,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame93.txt,,160,244,128,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame96.txt,,170,254,116,198,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame96.txt,,542,598,40,88,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame97.txt,,158,254,116,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame97.txt,,556,612,42,90,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame97.txt,,362,404,18,62,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,,160,256,116,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,,354,406,14,59,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,,560,612,105,159,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame98.txt,,562,618,42,90,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,,160,256,116,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,,354,406,14,59,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,,568,624,39,87,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame99.txt,,560,612,100,154,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame10.txt,,424,468,126,170,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,,360,416,16,58,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,,162,248,121,203,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,,558,612,102,156,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame100.txt,,578,632,30,78,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,,366,420,12,54,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,,592,636,22,70,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame101.txt,,162,248,133,203,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame11.txt,,424,468,125,169,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame12.txt,,424,468,122,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame13.txt,,424,468,122,167,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame132.txt,,530,578,14,77,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame132.txt,,348,378,19,53,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame133.txt,,492,540,6,68,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame133.txt,,326,366,23,56,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame134.txt,,462,510,11,61,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame134.txt,,308,348,31,65,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame135.txt,,451,493,2,66,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame135.txt,,298,338,35,68,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame136.txt,,428,490,2,66,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame136.txt,,276,318,43,83,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame14.txt,,428,472,121,161,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame15.txt,,432,476,121,161,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame152.txt,,312,378,1,47,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame152.txt,,473,531,159,195,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame153.txt,,320,386,1,41,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame153.txt,,485,531,159,195,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame154.txt,,500,546,154,190,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame155.txt,,509,555,150,186,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame156.txt,,515,561,150,186,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame157.txt,,522,568,150,186,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame158.txt,,539,585,142,178,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame159.txt,,552,586,141,177,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame16.txt,,436,480,119,158,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame17.txt,,442,486,116,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame176.txt,,526,572,95,140,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame177.txt,,516,562,95,140,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame18.txt,,448,492,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame181.txt,,476,516,102,146,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame182.txt,,474,514,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame183.txt,,472,512,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame184.txt,,470,510,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame185.txt,,454,510,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame186.txt,,454,510,104,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame187.txt,,454,510,108,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame188.txt,,454,510,108,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame189.txt,,454,510,108,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame19.txt,,458,502,115,155,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame19.txt,,384,432,22,88,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame190.txt,,450,510,113,157,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame191.txt,,456,510,113,157,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame192.txt,,461,515,108,152,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame193.txt,,473,511,110,149,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame2.txt,,412,456,163,197,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame20.txt,,374,422,40,106,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame20.txt,,470,514,116,156,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame21.txt,,366,414,45,111,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_frame21.txt,,474,518,121,161,-3.0
